Wilayah Jawa Barat,2018,2019,2020
Provinsi Jawa Barat,48683861,49316712,49935858
Bogor,5840907,5965410,6088233
Sukabumi,2460693,2466272,2470219
Cianjur,2260620,2263072,2264328
Bandung,3717291,3775279,3831505
Garut,2606399,2622425,2636637
Tasikmalaya,1751295,1754128,1755710
Ciamis,1188629,1195176,1201685
Kuningan,1074497,1080804,1087105
Cirebon,2176213,2192903,2209633
Majalengka,1199300,1205034,1210709
Sumedang,1149906,1152400,1154428
Indramayu,1719187,1728469,1737624
Subang,1579018,1595825,1612576
Purwakarta,953414,962893,971889
Karawang,2336009,2353915,2370488
Bekasi,3630907,3763886,3899017
Bandung Barat,1683711,1699896,1714982
Pangandaran,397187,399284,401493
Kota Bogor,1096828,1112081,1126927
Kota Sukabumi,326282,328680,330691
Kota Bandung,2503708,2507888,2510103
Kota Cirebon,316277,319312,322322
Kota Bekasi,2931897,3003923,3075690
Kota Depok,2330333,2406826,2484186
Kota Cimahi,607811,614304,620393
Kota Tasikmalaya,662723,663517,663986
Kota Banjar,182819,183110,183299
