Kabupaten/Kota,Ibu Kota Wilayah,Luas Wilayah (Km2),Persentase Terhadap Luas Wilayah,Jumlah Pulau
Bogor,Cibinong,2710.62,7.66,
Sukabumi,"Pelabuhan Ratu	",4145.7,11.72,
Cianjur,Cianjur,3840.16,10.85,
Bandung,Soreang,1767.96,5,
Garut,"Torogong Kidul	",3074.07,8.69,
Tasikmalaya,Singaparna,2551.19,7.21,
Ciamis,Ciamis,1414.71,4,
Kuningan,Kuningan,1110.56,3.14,
Cirebon,Sumber,984.52,2.78,
Majalengka,Majalengka,1204.24,3.4,
Sumedang,sumedang,1518.33,4.29,
Indramayu,Indramayu,2040.11,5.77,1
Subang,Subang,1893.95,5.35,
Purwakarta,Purwakarta,825.74,2.33,
Karawang,Karawang,1652.2,4.67,
Bekasi,Cikarang,1224.88,3.46,
Bandung Barat,Ngamprah,1305.77,3.69,
Pangandaran,Parigi,1010,2.85,
Kota Bogor,Bogor,118.5,0.33,
Kota Sukabumi,Sukabumi,48.25,0.14,
Kota Bandung,Bandung,167.67,0.47,
Kota Cirebon,Cirebon,37.36,0.11,
Kota Bekasi,Bekasi,206.61,0.58,
Kota Depok,Depok,200.29,0.57,
Kota Cimahi,Cimahi,39.27,0.11,
Kota Tasikmalaya,Tasikmalaya,171.61,0.49,
Kota Banjar,Banjar,113.49,0.32,
Jawa Barat,Bandung,35377.76,100,1
